Points_0,Points_1,Points_2,qr
0,0,0.05,35517.8
0,0.001,0.05,35472.1
0,0.002,0.05,35426.5
0,0.003,0.05,35380.8
0,0.004,0.05,35335.2
0,0.005,0.05,35289.5
0,0.006,0.05,35243.9
0,0.007,0.05,35198.2
0,0.008,0.05,35152.6
0,0.009,0.05,35106.9
0,0.01,0.05,35061.3
0,0.011,0.05,35015.6
0,0.012,0.05,34970
0,0.013,0.05,34924.3
0,0.014,0.05,34878.6
0,0.015,0.05,34833
0,0.016,0.05,34787.3
0,0.017,0.05,34741.7
0,0.018,0.05,34696
0,0.019,0.05,34650.4
0,0.02,0.05,34604.7
0,0.021,0.05,34559.1
0,0.022,0.05,34513.4
0,0.023,0.05,34467.8
0,0.024,0.05,34422.1
0,0.025,0.05,34376.4
0,0.026,0.05,34330.8
0,0.027,0.05,34285.1
0,0.028,0.05,34239.5
0,0.029,0.05,34193.8
0,0.03,0.05,34148.2
0,0.031,0.05,34102.5
0,0.032,0.05,34056.9
0,0.033,0.05,34011.2
0,0.034,0.05,33944.9
0,0.035,0.05,33868.3
0,0.036,0.05,33791.7
0,0.037,0.05,33715.1
0,0.038,0.05,33638.4
0,0.039,0.05,33561.8
0,0.04,0.05,33485.2
0,0.041,0.05,33408.6
0,0.042,0.05,33332
0,0.043,0.05,33255.4
0,0.044,0.05,33178.7
0,0.045,0.05,33102.1
0,0.046,0.05,33025.5
0,0.047,0.05,32948.9
0,0.048,0.05,32872.3
0,0.049,0.05,32795.6
0,0.05,0.05,32719
0,0.051,0.05,32642.4
0,0.052,0.05,32565.8
0,0.053,0.05,32489.2
0,0.054,0.05,32412.6
0,0.055,0.05,32335.9
0,0.056,0.05,32259.3
0,0.057,0.05,32182.7
0,0.058,0.05,32106.1
0,0.059,0.05,32029.5
0,0.06,0.05,31952.8
0,0.061,0.05,31876.2
0,0.062,0.05,31799.6
0,0.063,0.05,31723
0,0.064,0.05,31646.4
0,0.065,0.05,31569.7
0,0.066,0.05,31493.1
0,0.067,0.05,31422.6
0,0.068,0.05,31364.3
0,0.069,0.05,31306
0,0.07,0.05,31247.7
0,0.071,0.05,31189.4
0,0.072,0.05,31131.1
0,0.073,0.05,31072.8
0,0.074,0.05,31014.5
0,0.075,0.05,30956.2
0,0.076,0.05,30897.9
0,0.077,0.05,30839.6
0,0.078,0.05,30781.3
0,0.079,0.05,30723
0,0.08,0.05,30664.7
0,0.081,0.05,30606.4
0,0.082,0.05,30548.1
0,0.083,0.05,30489.8
0,0.084,0.05,30431.5
0,0.085,0.05,30373.2
0,0.086,0.05,30314.9
0,0.087,0.05,30256.6
0,0.088,0.05,30198.3
0,0.089,0.05,30140
0,0.09,0.05,30081.7
0,0.091,0.05,30023.4
0,0.092,0.05,29965.1
0,0.093,0.05,29906.8
0,0.094,0.05,29848.5
0,0.095,0.05,29790.2
0,0.096,0.05,29731.9
0,0.097,0.05,29673.6
0,0.098,0.05,29615.3
0,0.099,0.05,29557
0,0.1,0.05,29498.7
0,0.101,0.05,29446.5
0,0.102,0.05,29394.3
0,0.103,0.05,29342.2
0,0.104,0.05,29290
0,0.105,0.05,29237.9
0,0.106,0.05,29185.7
0,0.107,0.05,29133.6
0,0.108,0.05,29081.4
0,0.109,0.05,29029.2
0,0.11,0.05,28977.1
0,0.111,0.05,28924.9
0,0.112,0.05,28872.8
0,0.113,0.05,28820.6
0,0.114,0.05,28768.5
0,0.115,0.05,28716.3
0,0.116,0.05,28664.1
0,0.117,0.05,28612
0,0.118,0.05,28559.8
0,0.119,0.05,28507.7
0,0.12,0.05,28455.5
0,0.121,0.05,28403.4
0,0.122,0.05,28351.2
0,0.123,0.05,28299.1
0,0.124,0.05,28246.9
0,0.125,0.05,28194.7
0,0.126,0.05,28142.6
0,0.127,0.05,28090.4
0,0.128,0.05,28038.3
0,0.129,0.05,27986.1
0,0.13,0.05,27934
0,0.131,0.05,27881.8
0,0.132,0.05,27829.6
0,0.133,0.05,27777.5
0,0.134,0.05,27728.1
0,0.135,0.05,27680.1
0,0.136,0.05,27632.1
0,0.137,0.05,27584
0,0.138,0.05,27536
0,0.139,0.05,27488
0,0.14,0.05,27440
0,0.141,0.05,27392
0,0.142,0.05,27344
0,0.143,0.05,27295.9
0,0.144,0.05,27247.9
0,0.145,0.05,27199.9
0,0.146,0.05,27151.9
0,0.147,0.05,27103.9
0,0.148,0.05,27055.9
0,0.149,0.05,27007.8
0,0.15,0.05,26959.8
0,0.151,0.05,26911.8
0,0.152,0.05,26863.8
0,0.153,0.05,26815.8
0,0.154,0.05,26767.8
0,0.155,0.05,26719.7
0,0.156,0.05,26671.7
0,0.157,0.05,26623.7
0,0.158,0.05,26575.7
0,0.159,0.05,26527.7
0,0.16,0.05,26479.7
0,0.161,0.05,26431.6
0,0.162,0.05,26383.6
0,0.163,0.05,26335.6
0,0.164,0.05,26287.6
0,0.165,0.05,26239.6
0,0.166,0.05,26191.6
0,0.167,0.05,26144.7
0,0.168,0.05,26100
0,0.169,0.05,26055.3
0,0.17,0.05,26010.7
0,0.171,0.05,25966
0,0.172,0.05,25921.4
0,0.173,0.05,25876.7
0,0.174,0.05,25832.1
0,0.175,0.05,25787.4
0,0.176,0.05,25742.7
0,0.177,0.05,25698.1
0,0.178,0.05,25653.4
0,0.179,0.05,25608.8
0,0.18,0.05,25564.1
0,0.181,0.05,25519.5
0,0.182,0.05,25474.8
0,0.183,0.05,25430.1
0,0.184,0.05,25385.5
0,0.185,0.05,25340.8
0,0.186,0.05,25296.2
0,0.187,0.05,25251.5
0,0.188,0.05,25206.8
0,0.189,0.05,25162.2
0,0.19,0.05,25117.5
0,0.191,0.05,25072.9
0,0.192,0.05,25028.2
0,0.193,0.05,24983.6
0,0.194,0.05,24938.9
0,0.195,0.05,24894.2
0,0.196,0.05,24849.6
0,0.197,0.05,24804.9
0,0.198,0.05,24760.3
0,0.199,0.05,24715.6
0,0.2,0.05,24670.9
0,0.201,0.05,24629.5
0,0.202,0.05,24588
0,0.203,0.05,24546.5
0,0.204,0.05,24505
0,0.205,0.05,24463.5
0,0.206,0.05,24422
0,0.207,0.05,24380.5
0,0.208,0.05,24339
0,0.209,0.05,24297.5
0,0.21,0.05,24256
0,0.211,0.05,24214.5
0,0.212,0.05,24173
0,0.213,0.05,24131.5
0,0.214,0.05,24090
0,0.215,0.05,24048.5
0,0.216,0.05,24007
0,0.217,0.05,23965.5
0,0.218,0.05,23924
0,0.219,0.05,23882.6
0,0.22,0.05,23841.1
0,0.221,0.05,23799.6
0,0.222,0.05,23758.1
0,0.223,0.05,23716.6
0,0.224,0.05,23675.1
0,0.225,0.05,23633.6
0,0.226,0.05,23592.1
0,0.227,0.05,23550.6
0,0.228,0.05,23509.1
0,0.229,0.05,23467.6
0,0.23,0.05,23426.1
0,0.231,0.05,23384.6
0,0.232,0.05,23343.1
0,0.233,0.05,23301.6
0,0.234,0.05,23261.9
0,0.235,0.05,23223
0,0.236,0.05,23184.1
0,0.237,0.05,23145.2
0,0.238,0.05,23106.2
0,0.239,0.05,23067.3
0,0.24,0.05,23028.4
0,0.241,0.05,22989.5
0,0.242,0.05,22950.6
0,0.243,0.05,22911.7
0,0.244,0.05,22872.8
0,0.245,0.05,22833.9
0,0.246,0.05,22795
0,0.247,0.05,22756.1
0,0.248,0.05,22717.2
0,0.249,0.05,22678.3
0,0.25,0.05,22639.4
0,0.251,0.05,22600.5
0,0.252,0.05,22561.6
0,0.253,0.05,22522.7
0,0.254,0.05,22483.8
0,0.255,0.05,22444.9
0,0.256,0.05,22406
0,0.257,0.05,22367.1
0,0.258,0.05,22328.2
0,0.259,0.05,22289.3
0,0.26,0.05,22250.4
0,0.261,0.05,22211.5
0,0.262,0.05,22172.6
0,0.263,0.05,22133.6
0,0.264,0.05,22094.7
0,0.265,0.05,22055.8
0,0.266,0.05,22016.9
0,0.267,0.05,21978.8
0,0.268,0.05,21942.1
0,0.269,0.05,21905.4
0,0.27,0.05,21868.7
0,0.271,0.05,21832
0,0.272,0.05,21795.4
0,0.273,0.05,21758.7
0,0.274,0.05,21722
0,0.275,0.05,21685.3
0,0.276,0.05,21648.6
0,0.277,0.05,21612
0,0.278,0.05,21575.3
0,0.279,0.05,21538.6
0,0.28,0.05,21501.9
0,0.281,0.05,21465.2
0,0.282,0.05,21428.6
0,0.283,0.05,21391.9
0,0.284,0.05,21355.2
0,0.285,0.05,21318.5
0,0.286,0.05,21281.8
0,0.287,0.05,21245.2
0,0.288,0.05,21208.5
0,0.289,0.05,21171.8
0,0.29,0.05,21135.1
0,0.291,0.05,21098.4
0,0.292,0.05,21061.8
0,0.293,0.05,21025.1
0,0.294,0.05,20988.4
0,0.295,0.05,20951.7
0,0.296,0.05,20915
0,0.297,0.05,20878.3
0,0.298,0.05,20841.7
0,0.299,0.05,20805
0,0.3,0.05,20768.3
0,0.301,0.05,20733.7
0,0.302,0.05,20699
0,0.303,0.05,20664.4
0,0.304,0.05,20629.7
0,0.305,0.05,20595.1
0,0.306,0.05,20560.5
0,0.307,0.05,20525.8
0,0.308,0.05,20491.2
0,0.309,0.05,20456.5
0,0.31,0.05,20421.9
0,0.311,0.05,20387.2
0,0.312,0.05,20352.6
0,0.313,0.05,20318
0,0.314,0.05,20283.3
0,0.315,0.05,20248.7
0,0.316,0.05,20214
0,0.317,0.05,20179.4
0,0.318,0.05,20144.8
0,0.319,0.05,20110.1
0,0.32,0.05,20075.5
0,0.321,0.05,20040.8
0,0.322,0.05,20006.2
0,0.323,0.05,19971.6
0,0.324,0.05,19936.9
0,0.325,0.05,19902.3
0,0.326,0.05,19867.6
0,0.327,0.05,19833
0,0.328,0.05,19798.4
0,0.329,0.05,19763.7
0,0.33,0.05,19729.1
0,0.331,0.05,19694.4
0,0.332,0.05,19659.8
0,0.333,0.05,19625.1
0,0.334,0.05,19591.8
0,0.335,0.05,19559
0,0.336,0.05,19526.2
0,0.337,0.05,19493.5
0,0.338,0.05,19460.7
0,0.339,0.05,19427.9
0,0.34,0.05,19395.2
0,0.341,0.05,19362.4
0,0.342,0.05,19329.6
0,0.343,0.05,19296.9
0,0.344,0.05,19264.1
0,0.345,0.05,19231.3
0,0.346,0.05,19198.6
0,0.347,0.05,19165.8
0,0.348,0.05,19133
0,0.349,0.05,19100.3
0,0.35,0.05,19067.5
0,0.351,0.05,19034.7
0,0.352,0.05,19002
0,0.353,0.05,18969.2
0,0.354,0.05,18936.4
0,0.355,0.05,18903.7
0,0.356,0.05,18870.9
0,0.357,0.05,18838.1
0,0.358,0.05,18805.4
0,0.359,0.05,18772.6
0,0.36,0.05,18739.8
0,0.361,0.05,18707.1
0,0.362,0.05,18674.3
0,0.363,0.05,18641.5
0,0.364,0.05,18608.8
0,0.365,0.05,18576
0,0.366,0.05,18543.2
0,0.367,0.05,18511
0,0.368,0.05,18480
0,0.369,0.05,18448.9
0,0.37,0.05,18417.9
0,0.371,0.05,18386.8
0,0.372,0.05,18355.8
0,0.373,0.05,18324.7
0,0.374,0.05,18293.7
0,0.375,0.05,18262.6
0,0.376,0.05,18231.6
0,0.377,0.05,18200.5
0,0.378,0.05,18169.5
0,0.379,0.05,18138.4
0,0.38,0.05,18107.4
0,0.381,0.05,18076.3
0,0.382,0.05,18045.3
0,0.383,0.05,18014.2
0,0.384,0.05,17983.2
0,0.385,0.05,17952.1
0,0.386,0.05,17921.1
0,0.387,0.05,17890
0,0.388,0.05,17859
0,0.389,0.05,17827.9
0,0.39,0.05,17796.9
0,0.391,0.05,17765.8
0,0.392,0.05,17734.8
0,0.393,0.05,17703.7
0,0.394,0.05,17672.7
0,0.395,0.05,17641.6
0,0.396,0.05,17610.6
0,0.397,0.05,17579.5
0,0.398,0.05,17548.5
0,0.399,0.05,17517.4
0,0.4,0.05,17486.3
0,0.401,0.05,17456.9
0,0.402,0.05,17427.4
0,0.403,0.05,17397.9
0,0.404,0.05,17368.5
0,0.405,0.05,17339
0,0.406,0.05,17309.5
0,0.407,0.05,17280.1
0,0.408,0.05,17250.6
0,0.409,0.05,17221.1
0,0.41,0.05,17191.7
0,0.411,0.05,17162.2
0,0.412,0.05,17132.7
0,0.413,0.05,17103.3
0,0.414,0.05,17073.8
0,0.415,0.05,17044.3
0,0.416,0.05,17014.8
0,0.417,0.05,16985.4
0,0.418,0.05,16955.9
0,0.419,0.05,16926.4
0,0.42,0.05,16897
0,0.421,0.05,16867.5
0,0.422,0.05,16838
0,0.423,0.05,16808.6
0,0.424,0.05,16779.1
0,0.425,0.05,16749.6
0,0.426,0.05,16720.2
0,0.427,0.05,16690.7
0,0.428,0.05,16661.2
0,0.429,0.05,16631.8
0,0.43,0.05,16602.3
0,0.431,0.05,16572.8
0,0.432,0.05,16543.3
0,0.433,0.05,16513.9
0,0.434,0.05,16485.4
0,0.435,0.05,16457.4
0,0.436,0.05,16429.4
0,0.437,0.05,16401.4
0,0.438,0.05,16373.4
0,0.439,0.05,16345.4
0,0.44,0.05,16317.4
0,0.441,0.05,16289.4
0,0.442,0.05,16261.5
0,0.443,0.05,16233.5
0,0.444,0.05,16205.5
0,0.445,0.05,16177.5
0,0.446,0.05,16149.5
0,0.447,0.05,16121.5
0,0.448,0.05,16093.5
0,0.449,0.05,16065.5
0,0.45,0.05,16037.5
0,0.451,0.05,16009.5
0,0.452,0.05,15981.5
0,0.453,0.05,15953.6
0,0.454,0.05,15925.6
0,0.455,0.05,15897.6
0,0.456,0.05,15869.6
0,0.457,0.05,15841.6
0,0.458,0.05,15813.6
0,0.459,0.05,15785.6
0,0.46,0.05,15757.6
0,0.461,0.05,15729.6
0,0.462,0.05,15701.6
0,0.463,0.05,15673.6
0,0.464,0.05,15645.6
0,0.465,0.05,15617.7
0,0.466,0.05,15589.7
0,0.467,0.05,15562.1
0,0.468,0.05,15535.5
0,0.469,0.05,15508.9
0,0.47,0.05,15482.3
0,0.471,0.05,15455.7
0,0.472,0.05,15429.1
0,0.473,0.05,15402.5
0,0.474,0.05,15375.9
0,0.475,0.05,15349.3
0,0.476,0.05,15322.7
0,0.477,0.05,15296
0,0.478,0.05,15269.4
0,0.479,0.05,15242.8
0,0.48,0.05,15216.2
0,0.481,0.05,15189.6
0,0.482,0.05,15163
0,0.483,0.05,15136.4
0,0.484,0.05,15109.8
0,0.485,0.05,15083.2
0,0.486,0.05,15056.6
0,0.487,0.05,15030
0,0.488,0.05,15003.4
0,0.489,0.05,14976.7
0,0.49,0.05,14950.1
0,0.491,0.05,14923.5
0,0.492,0.05,14896.9
0,0.493,0.05,14870.3
0,0.494,0.05,14843.7
0,0.495,0.05,14817.1
0,0.496,0.05,14790.5
0,0.497,0.05,14763.9
0,0.498,0.05,14737.3
0,0.499,0.05,14710.7
